TITLE = "Channel Statistics (step=2000, n=151)"
VARIABLES = "Z" "Z_plus" "U_mean" "W_mean" "u_rms" "v_rms" "w_rms" "uw_stress" "P_mean"
ZONE T="Stats", I=48, J=1, K=1, DATAPACKING=POINT
4.23919562e-03 2.84311101e-01 5.04490735e-02 -2.44868755e-17 7.24391149e-02 6.16495587e-02 4.33541480e-03 1.68245147e-05 9.26919117e-02
1.31249113e-02 8.80251421e-01 1.43518551e-01 -4.90194907e-17 1.99194017e-01 1.65042001e-01 1.93089191e-02 1.87728057e-04 9.21200292e-02
2.28555751e-02 1.53286007e+00 2.35099345e-01 -4.92363312e-17 3.01789825e-01 2.41967605e-01 4.36412138e-02 3.82951703e-04 9.02332320e-02
3.34921411e-02 2.24622507e+00 3.23717219e-01 -4.83825219e-17 3.83872398e-01 2.94383688e-01 7.20309893e-02 5.49457092e-04 8.66188249e-02
4.50958246e-02 3.02445196e+00 4.04715637e-01 -4.94938292e-17 4.51453918e-01 3.29669045e-01 1.01588103e-01 1.25494277e-03 8.12445620e-02
5.77271047e-02 3.87159691e+00 4.74281656e-01 -4.96022494e-17 5.07885752e-01 3.53264189e-01 1.31095821e-01 2.99136472e-03 7.42461273e-02
7.14445319e-02 4.79158673e+00 5.29996837e-01 -5.06322415e-17 5.55684351e-01 3.68731268e-01 1.60006247e-01 6.10050636e-03 6.58087267e-02
8.63033342e-02 5.78812542e+00 5.70714880e-01 -4.84638371e-17 5.95894416e-01 3.78775905e-01 1.88080039e-01 1.07484529e-02 5.61126584e-02
1.02353828e-01 6.86458757e+00 5.96136371e-01 -4.96564595e-17 6.28687982e-01 3.85418663e-01 2.15122727e-01 1.69347743e-02 4.53725076e-02
1.19639651e-01 8.02389980e+00 6.06497435e-01 -4.94396191e-17 6.55453762e-01 3.89879592e-01 2.41045920e-01 2.45691647e-02 3.37721326e-02
1.38195845e-01 9.26841228e+00 6.02777044e-01 -4.46691295e-17 6.76936386e-01 3.94255418e-01 2.65774705e-01 3.34186177e-02 2.15323389e-02
1.58046839e-01 1.05997634e+01 5.85931016e-01 -4.34765071e-17 6.92310774e-01 3.98847059e-01 2.89202735e-01 4.33350164e-02 8.86450787e-03
1.79204399e-01 1.20187424e+01 5.57013696e-01 -3.83807569e-17 7.00644121e-01 4.04585870e-01 3.11357358e-01 5.37357590e-02 -4.08527109e-03
2.01665625e-01 1.35251545e+01 5.16938686e-01 -3.77302356e-17 7.04406082e-01 4.11159157e-01 3.32167064e-01 6.46073401e-02 -1.70879091e-02
2.25411089e-01 1.51176969e+01 4.69202677e-01 -3.36102673e-17 7.05792166e-01 4.18474391e-01 3.51571848e-01 7.56235297e-02 -2.99356656e-02
2.50403245e-01 1.67938516e+01 4.17601747e-01 -3.59955121e-17 7.06802366e-01 4.26320169e-01 3.69367517e-01 8.65081217e-02 -4.22989957e-02
2.76585208e-01 1.85498033e+01 3.63520402e-01 -3.64291930e-17 7.06300396e-01 4.34642028e-01 3.85468815e-01 9.60067224e-02 -5.40027323e-02
3.03880033e-01 2.03803915e+01 3.08310278e-01 -3.42607887e-17 7.04181270e-01 4.42742713e-01 3.99927320e-01 1.04541120e-01 -6.49351803e-02
3.32190593e-01 2.22791024e+01 2.55046467e-01 -3.18755439e-17 7.01576724e-01 4.47480462e-01 4.12805821e-01 1.11678991e-01 -7.49724764e-02
3.61400152e-01 2.42381065e+01 2.02996472e-01 -1.86482774e-17 6.97493611e-01 4.48353347e-01 4.24026508e-01 1.17143310e-01 -8.39411905e-02
