TITLE = "Channel Statistics (step=6000, n=301)"
VARIABLES = "Z" "Z_plus" "U_mean" "W_mean" "u_rms" "v_rms" "w_rms" "uw_stress" "P_mean"
ZONE T="Stats", I=96, J=1, K=1, DATAPACKING=POINT
2.07055162e-03 1.28243105e+02 -2.10150779e+03 4.55191440e-15 1.19884765e+04 3.22353931e+03 1.81108924e+02 -6.96859680e+04 3.01829324e+05
6.30974724e-03 3.90804831e+02 -8.49430972e+02 9.76996262e-15 9.01331381e+03 2.57312431e+03 4.18965141e+02 -2.91152193e+05 1.46346468e+05
1.07488550e-02 6.65748452e+02 -3.02064403e+02 8.43769499e-15 8.30189866e+03 2.38295278e+03 6.06994798e+02 -3.10576735e+05 -4.70182835e+04
1.53953750e-02 9.53538502e+02 -1.51175752e+01 1.77635684e-14 8.22069030e+03 2.25626814e+03 7.53018731e+02 -2.62020769e+05 -2.37962363e+05
2.02568878e-02 1.25464449e+03 1.25689380e+02 1.02140518e-14 8.50493353e+03 2.20985010e+03 8.80510481e+02 -3.86302978e+05 -4.53188140e+05
2.53410315e-02 1.56953950e+03 1.91270474e+02 9.76996262e-15 8.53310946e+03 2.20565571e+03 9.91416456e+02 -1.68564342e+05 -6.42413780e+05
3.06554770e-02 1.89869864e+03 2.18363380e+02 0.00000000e+00 8.24915755e+03 2.08341872e+03 1.07307427e+03 -1.12283247e+05 -7.98488020e+05
3.62078993e-02 2.24259727e+03 2.28998653e+02 7.10542736e-15 7.85805482e+03 2.04255409e+03 1.14168340e+03 -3.56653272e+04 -9.41196157e+05
4.20059471e-02 2.60170914e+03 1.97437620e+02 1.15463195e-14 7.79372608e+03 1.94774186e+03 1.19316020e+03 -1.12643387e+05 -1.05090475e+06
4.80572083e-02 2.97650420e+03 2.07442416e+02 3.55271368e-15 7.46185792e+03 1.95970053e+03 1.23763914e+03 -1.42491336e+05 -1.15285686e+06
5.43691726e-02 3.36744635e+03 1.46915564e+02 1.77635684e-15 6.94810924e+03 1.82687251e+03 1.27279850e+03 -3.68301444e+04 -1.23437078e+06
6.09491916e-02 3.77499091e+03 1.41595667e+02 -5.32907052e-15 6.50505631e+03 1.74179527e+03 1.29443614e+03 -1.19234776e+04 -1.27682773e+06
6.78044348e-02 4.19958196e+03 1.31544254e+02 -1.95399252e-14 6.22486288e+03 1.74174594e+03 1.30660965e+03 3.38989218e+04 -1.30989391e+06
7.49418430e-02 4.64164936e+03 1.24688980e+02 -8.88178420e-15 6.12584218e+03 1.72392809e+03 1.30489907e+03 2.58635065e+04 -1.28343814e+06
8.23680785e-02 5.10160578e+03 1.10841209e+02 -2.30926389e-14 5.63472499e+03 1.65652415e+03 1.31404161e+03 -2.43955581e+05 -1.34013265e+06
9.00894726e-02 5.57984334e+03 8.52608091e+01 0.00000000e+00 5.24037554e+03 1.62474811e+03 1.31353896e+03 1.07889243e+05 -1.29607644e+06
9.81119698e-02 6.07673022e+03 8.40373436e+01 -1.24344979e-14 4.86722883e+03 1.59640191e+03 1.29395268e+03 -2.24739952e+05 -1.26033180e+06
1.06441070e-01 6.59260706e+03 6.90815184e+01 -1.77635684e-14 4.50001886e+03 1.56901425e+03 1.29921571e+03 -1.65372505e+05 -1.28566508e+06
1.15081767e-01 7.12778323e+03 3.75486501e+01 -2.13162821e-14 4.21557517e+03 1.44762816e+03 1.29155552e+03 -1.19737901e+05 -1.24140813e+06
1.24038490e-01 7.68253297e+03 3.09434934e+01 -2.48689958e-14 3.81981630e+03 1.37761675e+03 1.25342980e+03 4.26940887e+04 -1.12631732e+06
1.33315036e-01 8.25709146e+03 1.00765080e+01 -1.42108547e-14 3.40389243e+03 1.22601510e+03 1.19236108e+03 5.03368566e+04 -9.72994323e+05
1.42914507e-01 8.85165086e+03 3.31101566e+01 -4.26325641e-14 3.02435870e+03 1.19342347e+03 1.13113244e+03 -2.20316387e+04 -8.44460971e+05
1.52839245e-01 9.46635623e+03 1.55495284e+01 -2.13162821e-14 2.62747066e+03 1.11393345e+03 1.07070762e+03 7.65407643e+04 -7.03855736e+05
1.63090768e-01 1.01013016e+04 2.55688442e+01 -1.77635684e-14 2.21837230e+03 9.98431498e+02 1.00729624e+03 4.88305953e+04 -5.86357197e+05
1.73669708e-01 1.07565261e+04 1.89985867e+01 -7.10542736e-15 1.98516976e+03 9.62859615e+02 9.45163174e+02 -6.59065822e+04 -4.62315447e+05
